Stars,Title,Date,Review Body
5,Very powerful booster that is well made.,2020/12/14,Jumped off a 4.7 Durango that has been sitting for six months with a battery at zero volts twice with no struggle at all. Honestly it sounded like it was cranking from a new battery and a booster. Better yet it only showed a ten percent drop in power battery power. The clamps are sturdy and the cables while short are of heavier gauge wire than allot of others. This is a good thing since that means less resistance. The included charger is well constructed as well. Bother the charger and the USB c cable that come with it have Velcro ties seem to them to make storage neat and easy. The worklight while not insanely bright is just about a perfect amount of light to illuminate a wide area for work while not blinding you. All in all this is one impressive jump starter that will see allot of use at work and at home. In an Auto tech and Jane used a great number of boosters from smaller units like this to massive dual deep cycle units and this will be my go to every time.
1,Will update when number provided correct.,2020/12/14,Support phone number will not accept incoming calls why provide one. See pic.
5,Hulkman is by far the BEST Jump Starter Unit on the Market,2020/12/19," So many uses but by far the Best Automotive Jump Starter Unit on the market. Connect the Jumper leads to the unit, connect leafs to correct colored battery posts, turn unit on, wait for green light, then turn on vehicle. I can charge my Samsung Note 20 Ultra more than 5 times from critical low 5% to 100%. I got almost 7 1/2 charges from 15% to 20%. The unit auto shut off when left on for a certain period of time. Sturdy design with built in Led Flashlight, red flashing lights, and a LED Battery Percentage Display. All this at an affordable price..."
5,Great Roll-Out,2020/12/28," A-lot of thought went into this product right down to the accessories that are included. Item arrived with a 68% charge and 24 minutes later after being plugged into household power it was at 100% Simple and easy to use. Contacted customer service with a couple of basic questions, they were answered within the same day. Will have to see on its longevity. Down side is that it does not come with any type of case or bag. With that said after trial and error the following case worked great for me... Aproca Hard Storage Travel Case for BESTEK 500W Power Inverter/NOCO Genius G1100 Battery Charger."
4,Can't get a hold of the manufacturer,2021/2/1,The charger worked great for the first couple of weeks and then it stopped charging.  Getting a hold of the manufacturer for repair or replacement is next to impossible.  Been trying to get in touch with them for about 3 weeks.  Bought another charger from a different manufacturer but I don't like it as much as the Hulkman.  Wish there was a way to get in touch with them.  I posted this a couple of days ago and and the manufacturer responded by replacing my charger at no cost.  I appreciate their response to this.
4,Great product!,2021/2/3,"This is a well designed emergency jump starter, especially for a first-generation product. So far I would recomend it--time will tell.We bought the 1st Generation model WITHOUT self heating option for $99.00 in Feb. 2021.  The 2nd Generation self heating model for $199.00 is designed primarily for very cold locations. Our southern climate & the hand warmers we keep in our cars during winter allows the less expensive model to meet our needs.Nothing about this slim quick charger seems cheap or flimsy.  It appears to be well built and should lasts 5 years or more years with proper care (crossing fingers).NOTE: We used the Hulkman 8.5 the day it was delivered.  One car had a bad battery so I read the instructions, charged the unit to 100% ( took about 22 minutes with the included wall charger), hooked it up to the car battery and turned it on.  The nice HUGE DISPLAY (pay attention all of you with glasses or over 50! ) showed a ""fully drained battery"" so I turned it off, then back on in ""Override mode"" by depressing both buttons simultaniously.  The display quickly drained from 100% down to 79% charge & the green ""Ready"" light came on.  The car started right up.My first thoughts were:  ""Wow!!!  This sure beats dragging around heavy jumper cables/the old heavy Lead acid based chargers & scratching the paint!""  It was faster too.  In less than 3 minutes our car was running and ready to drive from a completely dead battery (not even the door lights worked).  Modern technology is great!Way to go Hulkman Team--keep up the good work!"
5,DON'T YOU JUST LOVE THINGS THAT WORK?!!!,2021/2/21,"About an hour ago, I received my Hulkman Alpha85 and had to write this review.  Here's my story.I have 2004 Mercury Grand Marquis.  I do not drive it much and definitely do not drive it during the winter, preferring, instead, to use my smaller, more gas efficient car.  But, I love my Grand Marquis and have taken good care of it over the years.  However, a few days ago, I went out to the garage to crank the engine over and take the car for a brief spin.  The battery had other ideas.So, I got out my jumper cables and proceeded to jump the Grand Marquis, as I have done in the past.  That did not work.  I decided to look at Amazon to see if there might be a solution.  There was a lot of good talk about the Hulkman Alpha85, so I made the purchase.Last night the temperatures got down to 18 degrees.  Pretty cold.When I received the Alpha85, the charge was at 75%.  I plugged it into the house outlet, and it was charged to 100% in eight minutes, according to my stop watch...yes, I put my stop watch on to see how fast it would charge.  Now, with a charge of 100%, I headed out to the Grand Marquis.At this time, the temperature outside was at 36 degrees.I attached the negative to the negative and then the positive to the positive.  It took 1-2 seconds before the READY light came on.  I got into the car, turned the ignition, and the car started immediately.  Zero hesitation.For well over 20 years, I have been purchasing items from Amazon.  Most purchases are fine.  Some...not so fine.  But, when I get a product like this Hulkman Alpha85, that worked so well for me, I really felt compelled to write a review promptly.  The folks at Hulkman seem to know what they are doing.  I am grateful for their determination to produce a product that actually does what it says it does.I highly endorse this product."
5,Goodbye jumper cables!!,2021/2/23,"The days of looking for jumper cables, then another car to jumpstart your car have ended.  I recently had a chance to use the Hulkman for the first time, and it worked perfectly.  Car was started in minutes without having to find the cables from last year, then find which side the battery was on for both cars before trying to remember which side gets the red cable, which gets the black & which are only gets the red cable.  Simple pop the hood, attach the Hulkman cables and start the car...you're done and on your way.  If you are in an cold climate and experience at least one dead battery a year, then you will be glad to have the Hulkman!!"
3,Dead Battery Jump Start Experience,2021/3/7,"I bought this product a few weeks ago not expecting to use it anytime soon. That said, today my wife's 2018 SUV with a 4.6L V8 wouldn't start, so we took the Hulkman out of my car and tried it out (we were thankfully at home).

While the car issue was later isolated to a loose negative battery terminal (later reinstalling my 'dead' battery fully resolved the issue...negative connection was very loose), we used the override mode designed for dead/no battery. The product was powering something and discharging (I could hear some pre-startup engine bay noises), but I was disappointed with claims indicating this product would start cars with no battery. Despite ideal conditions (70F outside, Hulkman 90% charged), and despite tries both positive-to-frame (with battery) and later positive-to-negative (car battery removed), the Hulkman 85 in no way starts our V8 SUV with no battery.

That said, I still give it 3 stars for now. Why? Using it was superior to our other jump starter, which had mostly discharged and was much more confusing to operate. The Hulkman's screen adds a ton of confidence to the jump starting process -- it is easy to see exact charging level, easy to see error code ""2"" (that a dead battery override would be needed), and easy to see ready state and discharging to the car. It was helpful that the directions are printed permanently on the back of the product, and it was easy to see when it became overheated due to too many tries. It's pretty big, but it also works fine for phone/iPad USB charging. Charging it in less than an hour is excellent.

Note that override mode will turn off after about 30sec, after which you can override again to try once more. I do wonder modern car software boot up somehow made it more difficult due to start the car, but that said, no luck, so I'll never know.

So, it still seems like a decent enough product, and maybe it will start a low battery or my 2.0L 4 cylinder, but it would need a lot more beef to be bulletproof with our V8 with no battery."
1,Does not work very bad quality,2021/3/22,Stay away only worked 3 times and gave up
5,The perfect jump starter,2021/3/26,"I had a dinky old Napa Blue jump starter lying around that decided to get real puffy on me. And as everyone probably knows, once your Lithium Ion Battery starts to swell, it’s to get rid of it. That said I was looking for a couple of features in a new battery and this one fit the bill perfectly.

1. Battery should last a really long time just sitting around: The Hulkman accomplishes this. Where it truly shines however is the 65W USB-C charging. I can leave this thing hooked up to a type C charger in my glove compartment and forget about it. And it’s ready to go when I need it.

2. Able to start large engines: While my car has a 2.0 Flat 4 FA-20 motor. I wanted something that could fire up a V8 if necessary. Because my friends have larger engines.

3. USB-C two way charging. I really wanted a battery that supported two way USB-C PD so I could quick charge my iPhone if I needed to. The only thing I wish they had done different here would be having a higher output through the USB-C port. While it supports 65W input it only does 18W output. So it can quick charge a phone but cannot charge a laptop.

4. Lastly Hulkman claims this thing works as low as -40C. I haven’t had the chance to curry this claim but I have started a battery at around -15C with no trouble. I live in Minnesota so having cold weather charging support is super important to me.

I can’t tell you what to buy but I can tell you if I had to buy another jump starter and I had any amount to spend: this is it."
5,Great customer service response,2021/3/26,"Update 5/21 Hulkman has gone above and beyond to make it right. Great response, as a result of this scenario they have created a help center so it doesn’t happen again. Customer service has been great at addressing the issue and going above and beyond to make things right, so I’ve updated my review. When using the product to its instructions it works great.

Orig review: Typical bad scenario, trying to rush my sick dog to the vet and my car battery was dead. Good thing I have my brand new Hulkman jump starter right? Wrong. I connect it, error 2 appears on screen. What does that mean? I reconnect, restart, try everything and nothing works. I Google the error code, nothing.
So hulkman must have a website, YouTube channel, etc. with support options to troubleshoot right? Wrong yet again! Who redesigns a web site and takes down the entire site? Including all contact and support options for their product."
4,"Great, but still room for improvement.",2021/4/9,"This thing charges very fast, has usb outlet for charging phone or other devices, a white and red LED light with constant on or flashing, an easy to see screen with battery percentage, and is capable of starting large engines.

But the 12v outlet is pretty useless. It actually outputs at 14-16 volts, which is above the maximum voltage cutoff for inverters making them incompatable. The only thing the ""so called"" 12v outlet is good for is a heated car blanket or an additional phone charger. This was disappointing and made one of the best features of this product useless and pointless. So i took away a star from my rating because of that.

Other than that it's great and i DO recommend."
5,Works perfectly even if the car has no battery at all!,2021/5/4,"I already own a cheaper off-brand version of these lithium ion jump starter which worked great for starting miscellaneous items like a lawn mower, etc.  However, the first time I needed it to start a small 4 cylinder (1.6L) car engine, it did not work.  Even though the jump battery was 100% charged, the car didn't seem to even recognize that it was attached.  After a little more research I learned that many of these battery pack jump starters won't work when the car battery is missing or too drained to be detected by the battery pack starting circuitry.  So, I research to find one that claimed the ability to overcome this issue.  I first bought the NOCO GeniusBoost GB40.  Determined to test the override feature before I actually needed it, I disconnected the battery cables from the good battery in my 2015 Ram 1500 truck (5.7L) and clamped the NOCO to the truck's battery cables. Of course the NOCO did not detect a battery and showed an error.  I pressed the override button for 3 seconds as directed and still the NOCO showed an error and would not provide any power to the starter.  I tried this several times but could never get the NOCO to work at all...I have to assume the override feature was defective, but I cannot be certain of the issue.  I returned the NOCO and  purchased this Hulkman Alpha 85.  Under the same test (no connected battery at all), setting the Hulkman into override immediately provided power to the truck and easily started the 5.7L V8 engine.  I tried it multiple times and it worked flawlessly.  I then purchased a 2nd one to keep in another car.  So, for the same price (or at the time of this review a $20 lower price)  The Hulkman not only worked perfectly, but has a higher capacity and several additional features compared to the NOCO GB40.  I highly recommend this product!!"
5,BEST PORTABLE JUMP-STARTER... PERIOD!,2021/5/7,"I work for AAA for roadside assistance, and you wouldn’t believe how amazing this product is for the price. I got it when it was on discount (not sure if it still is) but this is a must have. Its one of those things where you don’t need it but must have one on you at all times. Keep in mind since I bought this product I use it 5 days a week constantly on all different types of cars that need a little power to get going (like a honda, toyota, etc...) to cars that need much more juice to power up (like a Mercedes, RV’s, Diesel trucks, etc...). I jumpstart at least 14 cars a day so thats about 70 cars a week. Almost everyone I assist they tell me “That little thing will start my car? *gives a little chuckle* You can try but I doubt it will jumpstart my car.” Then they get a surprised look on their face when it actually jumpstarts their vehicle. The charge on the battery lasts me pretty much all day depending on the types of cars I jumpstart, and the fast charging with USB type C makes it go from 0 to 100 in about 30mins or less. I don’t normally do reviews on things I buy on amazon but this was too great of a product to pass on the review. If you're looking for a powerful portable jump-starter stop looking and add this product to your cart it will be worth it."
1,Very weak,2021/5/11,I sell cars and i use jumpers very frequently. This one have not been able to jump start any car. Super weak not enough power.
